Name,Roll_No,Batch,Semester,MATH101,PHY101,CHEM101,ENG101,CS101,MATH102,PHY102,EE101,ME101,CS102,MATH201,CS201,CS202,CS203,CS204,MATH202,CS205,CS206,CS207,CS208,MGT101,CS301,CS302,CS303,CS304,CS305,CS306,CS307,CS308,CS309,CS310,CS401,CS402,CS403,CS404,CS405,CS406,CS407,CS408,MGT201
Harsh Shah,2021008,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,71.17,62.46,70.43,75.17,84.7,,,,,,,,,
Harsh Shah,2021008,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,76.72,93.11,86.22,100.0,,,,
Harsh Shah,2021008,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.48,51.88,36.64,52.62
Aditya Sharma,2021009,2021-25,1,60.12,62.03,77.37,68.12,52.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Sharma,2021009,2021-25,2,,,,,,61.44,43.32,74.84,68.32,51.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Sharma,2021009,2021-25,3,,,,,,,,,,,57.84,43.16,56.68,28.36,38.31,,,,,,,,,,,,,,,,,,,,,,,,,
Aditya Sharma,2021009,2021-25,4,,,,,,,,,,,,,,,,70.55,65.58,76.31,59.4,68.65,71.28,,,,,,,,,,,,,,,,,,,
Aditya Sharma,2021009,2021-25,5,,,,,,,,,,,,,,,,,,,,,,84.83,66.47,62.38,90.49,81.04,,,,,,,,,,,,,,
Aditya Sharma,2021009,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,74.28,59.93,70.57,59.45,79.38,,,,,,,,,
Aditya Sharma,2021009,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.84,100.0,100.0,100.0,86.68,,,,
Aditya Sharma,2021009,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.88,62.7,68.46,59.9
Arnav Nair,2021010,2021-25,1,73.13,80.98,66.7,82.25,52.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnav Nair,2021010,2021-25,2,,,,,,43.89,48.29,44.12,23.77,43.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arnav Nair,2021010,2021-25,3,,,,,,,,,,,57.13,54.1,41.03,45.29,39.84,,,,,,,,,,,,,,,,,,,,,,,,,
Arnav Nair,2021010,2021-25,4,,,,,,,,,,,,,,,,78.61,59.2,74.1,63.76,61.13,67.99,,,,,,,,,,,,,,,,,,,
Arnav Nair,2021010,2021-25,5,,,,,,,,,,,,,,,,,,,,,,48.93,42.49,74.12,54.82,47.47,,,,,,,,,,,,,,
Arnav Nair,2021010,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,72.09,71.0,79.35,80.78,67.9,,,,,,,,,
Arnav Nair,2021010,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.61,38.34,46.21,75.03,77.81,,,,
Arnav Nair,2021010,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.03,69.38,97.05,77.46
Pari Pillai,2021011,2021-25,1,58.53,52.02,70.12,60.52,53.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pari Pillai,2021011,2021-25,2,,,,,,49.49,77.17,69.12,60.22,75.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pari Pillai,2021011,2021-25,3,,,,,,,,,,,62.55,86.39,76.55,60.79,69.26,,,,,,,,,,,,,,,,,,,,,,,,,
Pari Pillai,2021011,2021-25,4,,,,,,,,,,,,,,,,43.04,66.13,75.96,42.88,62.5,50.36,,,,,,,,,,,,,,,,,,,
Pari Pillai,2021011,2021-25,5,,,,,,,,,,,,,,,,,,,,,,56.77,54.05,63.18,54.38,65.4,,,,,,,,,,,,,,
Pari Pillai,2021011,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,66.86,60.17,63.48,76.8,74.26,,,,,,,,,
Pari Pillai,2021011,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.33,62.85,38.64,60.77,48.71,,,,
Pari Pillai,2021011,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.93,60.51,62.28,79.04
Kunal Sharma,2021012,2021-25,1,64.85,80.28,57.28,73.24,61.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Sharma,2021012,2021-25,2,,,,,,60.7,51.62,56.38,70.29,54.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Sharma,2021012,2021-25,3,,,,,,,,,,,71.24,87.83,96.95,57.82,74.57,,,,,,,,,,,,,,,,,,,,,,,,,
Kunal Sharma,2021012,2021-25,4,,,,,,,,,,,,,,,,76.63,82.37,72.62,79.52,77.1,90.33,,,,,,,,,,,,,,,,,,,
Kunal Sharma,2021012,2021-25,5,,,,,,,,,,,,,,,,,,,,,,77.19,69.7,68.94,69.49,77.76,,,,,,,,,,,,,,
Kunal Sharma,2021012,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,66.58,84.44,72.4,60.42,75.7,,,,,,,,,
Kunal Sharma,2021012,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.5,53.8,45.17,60.36,64.06,,,,
Kunal Sharma,2021012,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.42,92.96,100.0,73.04
Aryan Nair,2021013,2021-25,1,81.24,58.75,84.97,76.92,69.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aryan Nair,2021013,2021-25,2,,,,,,100.0,81.31,81.97,74.9,70.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aryan Nair,2021013,2021-25,3,,,,,,,,,,,73.89,83.17,77.68,87.24,85.79,,,,,,,,,,,,,,,,,,,,,,,,,
Aryan Nair,2021013,2021-25,4,,,,,,,,,,,,,,,,80.46,82.86,75.78,81.12,89.34,93.13,,,,,,,,,,,,,,,,,,,
Aryan Nair,2021013,2021-25,5,,,,,,,,,,,,,,,,,,,,,,64.86,69.72,60.3,74.94,48.43,,,,,,,,,,,,,,
Aryan Nair,2021013,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,33.54,66.29,57.87,50.77,54.13,,,,,,,,,
Aryan Nair,2021013,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.58,54.41,54.21,60.38,57.93,,,,
Aryan Nair,2021013,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.45,78.07,92.18,86.81
Lakshmi Banerjee,2021014,2021-25,1,88.79,84.0,92.64,94.46,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshmi Banerjee,2021014,2021-25,2,,,,,,59.91,43.03,40.34,34.49,28.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshmi Banerjee,2021014,2021-25,3,,,,,,,,,,,83.08,69.45,69.4,78.99,99.04,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshmi Banerjee,2021014,2021-25,4,,,,,,,,,,,,,,,,51.07,63.65,63.38,39.14,65.56,63.8,,,,,,,,,,,,,,,,,,,
Lakshmi Banerjee,2021014,2021-25,5,,,,,,,,,,,,,,,,,,,,,,98.93,91.71,77.75,69.38,100.0,,,,,,,,,,,,,,
Lakshmi Banerjee,2021014,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,71.03,70.65,72.87,69.44,65.15,,,,,,,,,
Lakshmi Banerjee,2021014,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.47,56.36,54.67,62.86,59.25,,,,
Lakshmi Banerjee,2021014,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.05,100.0,100.0,71.83
Kiara Menon,2021015,2021-25,1,61.15,50.78,57.08,53.75,82.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiara Menon,2021015,2021-25,2,,,,,,96.75,91.25,72.74,78.79,88.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiara Menon,2021015,2021-25,3,,,,,,,,,,,58.8,49.26,47.92,58.78,56.11,,,,,,,,,,,,,,,,,,,,,,,,,
Kiara Menon,2021015,2021-25,4,,,,,,,,,,,,,,,,76.18,53.77,70.74,70.52,61.49,67.85,,,,,,,,,,,,,,,,,,,
Kiara Menon,2021015,2021-25,5,,,,,,,,,,,,,,,,,,,,,,60.47,49.38,46.01,61.72,44.19,,,,,,,,,,,,,,
Kiara Menon,2021015,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,33.31,54.93,36.07,66.42,28.05,,,,,,,,,
Kiara Menon,2021015,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.56,94.48,90.0,99.44,95.07,,,,
Kiara Menon,2021015,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.69,88.05,82.91,85.98
Pooja Iyer,2021016,2021-25,1,57.52,61.14,82.05,76.33,72.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pooja Iyer,2021016,2021-25,2,,,,,,73.75,64.88,62.49,72.23,60.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pooja Iyer,2021016,2021-25,3,,,,,,,,,,,59.1,86.42,80.85,78.68,85.95,,,,,,,,,,,,,,,,,,,,,,,,,
Pooja Iyer,2021016,2021-25,4,,,,,,,,,,,,,,,,100.0,76.57,82.19,88.73,95.24,100.0,,,,,,,,,,,,,,,,,,,
Pooja Iyer,2021016,2021-25,5,,,,,,,,,,,,,,,,,,,,,,60.98,51.56,53.0,45.05,49.88,,,,,,,,,,,,,,
Pooja Iyer,2021016,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,39.97,60.26,40.23,76.05,54.66,,,,,,,,,
Pooja Iyer,2021016,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.19,79.78,67.02,73.99,98.37,,,,
Pooja Iyer,2021016,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.05,61.53,68.21,86.27
Vikram Das,2021017,2021-25,1,78.72,67.67,54.97,66.92,70.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikram Das,2021017,2021-25,2,,,,,,63.62,72.06,76.85,78.58,85.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikram Das,2021017,2021-25,3,,,,,,,,,,,59.31,76.47,78.77,78.26,83.47,,,,,,,,,,,,,,,,,,,,,,,,,
Vikram Das,2021017,2021-25,4,,,,,,,,,,,,,,,,87.1,81.81,65.9,86.81,84.59,85.22,,,,,,,,,,,,,,,,,,,
Vikram Das,2021017,2021-25,5,,,,,,,,,,,,,,,,,,,,,,40.04,61.38,50.45,57.66,51.13,,,,,,,,,,,,,,
Vikram Das,2021017,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,79.83,65.29,71.41,65.82,66.1,,,,,,,,,
Vikram Das,2021017,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.58,60.57,77.92,56.42,63.49,,,,
Vikram Das,2021017,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.87,65.37,73.72,48.55
Myra Mishra,2021018,2021-25,1,82.9,74.83,84.66,68.83,88.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myra Mishra,2021018,2021-25,2,,,,,,100.0,100.0,100.0,100.0,99.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myra Mishra,2021018,2021-25,3,,,,,,,,,,,60.88,50.25,54.51,53.66,56.02,,,,,,,,,,,,,,,,,,,,,,,,,
Myra Mishra,2021018,2021-25,4,,,,,,,,,,,,,,,,71.82,84.98,59.5,79.32,67.34,68.99,,,,,,,,,,,,,,,,,,,
Myra Mishra,2021018,2021-25,5,,,,,,,,,,,,,,,,,,,,,,68.9,83.95,81.79,85.05,83.01,,,,,,,,,,,,,,
Myra Mishra,2021018,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,100.0,,,,,,,,,
Myra Mishra,2021018,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,82.13,79.51,92.55,82.31,,,,
Myra Mishra,2021018,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.52,64.34,94.97,97.45
Aarav Sinha,2021019,2021-25,1,56.93,63.67,64.15,67.39,80.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarav Sinha,2021019,2021-25,2,,,,,,59.36,53.55,60.04,67.01,85.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aarav Sinha,2021019,2021-25,3,,,,,,,,,,,64.47,62.07,74.12,87.51,56.93,,,,,,,,,,,,,,,,,,,,,,,,,
Aarav Sinha,2021019,2021-25,4,,,,,,,,,,,,,,,,73.1,69.48,81.13,68.5,59.07,68.56,,,,,,,,,,,,,,,,,,,
Aarav Sinha,2021019,2021-25,5,,,,,,,,,,,,,,,,,,,,,,94.84,91.7,97.3,98.32,100.0,,,,,,,,,,,,,,
Aarav Sinha,2021019,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,78.06,81.2,91.8,71.56,83.42,,,,,,,,,
Aarav Sinha,2021019,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.39,76.88,66.01,64.56,50.5,,,,
Aarav Sinha,2021019,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.65,100.0,78.12,83.39
Ananya Chatterjee,2021020,2021-25,1,89.52,72.79,76.53,79.82,75.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananya Chatterjee,2021020,2021-25,2,,,,,,65.24,74.04,53.04,64.63,56.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ananya Chatterjee,2021020,2021-25,3,,,,,,,,,,,72.69,82.34,91.7,100.0,87.27,,,,,,,,,,,,,,,,,,,,,,,,,
Ananya Chatterjee,2021020,2021-25,4,,,,,,,,,,,,,,,,80.48,47.19,39.68,66.07,56.65,51.46,,,,,,,,,,,,,,,,,,,
Ananya Chatterjee,2021020,2021-25,5,,,,,,,,,,,,,,,,,,,,,,83.06,74.98,67.82,89.35,87.13,,,,,,,,,,,,,,
Ananya Chatterjee,2021020,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,86.98,57.81,53.26,61.59,68.06,,,,,,,,,
Ananya Chatterjee,2021020,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.24,77.17,61.13,88.09,72.83,,,,
Ananya Chatterjee,2021020,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.19,91.33,92.46,91.24
Sneha Gupta,2021021,2021-25,1,92.93,81.61,86.73,78.74,94.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneha Gupta,2021021,2021-25,2,,,,,,77.86,59.45,45.55,61.14,53.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sneha Gupta,2021021,2021-25,3,,,,,,,,,,,76.08,78.15,63.71,78.09,58.37,,,,,,,,,,,,,,,,,,,,,,,,,
Sneha Gupta,2021021,2021-25,4,,,,,,,,,,,,,,,,53.85,54.1,50.5,36.57,45.76,46.21,,,,,,,,,,,,,,,,,,,
Sneha Gupta,2021021,2021-25,5,,,,,,,,,,,,,,,,,,,,,,67.66,61.4,50.41,52.89,54.71,,,,,,,,,,,,,,
Sneha Gupta,2021021,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9,32.55,29.36,36.56,57.35,,,,,,,,,
Sneha Gupta,2021021,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9,85.34,93.61,88.86,80.21,,,,
Sneha Gupta,2021021,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.28,64.23,69.25,66.65
Myra Patel,2021022,2021-25,1,80.39,98.92,87.72,100.0,78.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myra Patel,2021022,2021-25,2,,,,,,98.02,89.53,91.2,92.84,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myra Patel,2021022,2021-25,3,,,,,,,,,,,72.11,77.6,99.27,95.12,82.21,,,,,,,,,,,,,,,,,,,,,,,,,
Myra Patel,2021022,2021-25,4,,,,,,,,,,,,,,,,71.77,76.71,60.34,68.0,53.88,74.56,,,,,,,,,,,,,,,,,,,
Myra Patel,2021022,2021-25,5,,,,,,,,,,,,,,,,,,,,,,74.88,95.45,67.45,65.06,81.95,,,,,,,,,,,,,,
Myra Patel,2021022,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,81.12,96.49,85.32,83.98,,,,,,,,,
Myra Patel,2021022,2021-25,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.78,67.49,98.02,97.06,77.0,,,,
Myra Patel,2021022,2021-25,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.88,78.54,70.43,69.22
Saanvi Sinha,2021023,2021-25,1,81.34,75.05,65.91,77.33,41.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saanvi Sinha,2021023,2021-25,2,,,,,,69.83,83.61,76.03,74.28,98.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saanvi Sinha,2021023,2021-25,3,,,,,,,,,,,66.45,62.52,67.75,63.75,50.15,,,,,,,,,,,,,,,,,,,,,,,,,
Saanvi Sinha,2021023,2021-25,4,,,,,,,,,,,,,,,,80.01,69.38,80.66,99.95,93.45,81.46,,,,,,,,,,,,,,,,,,,
Saanvi Sinha,2021023,2021-25,5,,,,,,,,,,,,,,,,,,,,,,61.54,85.53,68.58,69.06,75.06,,,,,,,,,,,,,,
Saanvi Sinha,2021023,2021-25,6,,,,,,,,,,,,,,,,,,,,,,,,,,,70.99,71.62,72.87,73.21,80.86,,,,,,,,,
