Name,Roll_No,MATH101,PHY101,CHEM101,ENG101,CS101,MATH102,PHY102,EE101,ME101,CS102
Sara Singh,UCSE24062,57.66,63.96,40.89,36.46,63.77,64.72,80.45,61.39,68,57.85
Shalini Singh,UCSE24063,89.74,51.83,77.2,94.42,75.89,89.07,66.27,72.25,72.9,50.39
Naina Menon,UCSE24064,44.51,63.7,64.2,58.72,63.72,53.34,67,55.07,55.56,52.33
Reyansh Joshi,UCSE24065,73.5,87.48,66.39,66.72,84.59,76.33,72.67,86.11,71.14,75.21
Anika Roy,UCSE24066,100,100,83.47,98.6,76.8,76.72,62.29,100,77.15,84.53
Saanvi Chatterjee,UCSE24067,65.53,54.82,45.53,62.99,44.24,49.7,37.01,43.84,59.86,38.43
Karan Nair,UCSE24068,51.7,46.29,71.65,70.07,43.05,56.8,58.72,45.25,36.27,51.1
Jiya Banerjee,UCSE24069,63.07,71.85,59.92,55.91,68.52,70.79,55.16,76.21,49.22,61.14
Sandeep Joshi,UCSE24070,60.04,60.75,85.11,57.9,90.82,70.28,66.82,70.67,91.2,55.97
Kavya Rao,UCSE24071,48.51,56.38,38.8,56.28,72.99,57.07,52.63,49.37,64.54,47.3
Sara Yadav,UCSE24072,100,94.22,91.54,100,100,83.1,85.89,77.93,95.25,97.82
Sunita Pandey,UCSE24073,48.75,39.83,44.31,58.81,45.97,49.79,36.53,54.67,52.36,45.51
Arjun Kumar,UCSE24074,69.03,59.08,52.47,85.29,60.9,65.76,76.84,100,54.29,71.23
Aditi Shah,UCSE24075,55.62,53.81,49.75,60.6,46.26,69.98,61.06,64.73,55.85,56.84
