Name,Roll_No,MATH101,PHY101,CHEM101,ENG101,CS101,MATH102,PHY102,EE101,ME101,CS102,MATH201,CS201,CS202,CS203,CS204,MATH202,CS205,CS206,CS207,CS208,MGT101,CS301,CS302,CS303,CS304,CS305,CS306,CS307,CS308,CS309,CS310,CS401,CS402,CS403,CS404,CS405,CS406,CS407,CS408,MGT201
Vivaan Menon,UCSE21013,61.82,85.66,75.82,60.06,68.53,61.17,56.1,79.19,89.02,55.94,75.06,62.92,64.56,63.5,60.79,69.41,60.62,71.63,68.43,66.54,59.85,62.66,75.98,73.44,58.65,69.42,75.44,51.23,73.36,61.3,73.63,59.8,49.38,51.15,67.91,70.03,57.89,73.31,50.31,66.27
Aadhya Chatterjee,UCSE21014,48.45,55.44,46.36,51.12,65.03,48.7,62.82,43.17,59.77,68.88,29.25,46,59.74,51.94,57.68,47.43,54.33,51.91,65.15,56.01,56.84,48.85,48.09,48.64,56.91,48.76,55.37,73.22,61.18,49.21,64.48,47.89,31.59,41.89,33.26,48.45,51.65,68.23,54.74,49.28
Divya Chatterjee,UCSE21015,57.34,81.81,87.16,64.67,90.89,82.34,74.8,85.28,100,80.77,80.94,73.86,69.95,86.76,69.89,78.67,73.18,82.74,81.29,88.33,72.85,74.75,67.67,73.01,81.23,85.02,67.73,85.65,90.51,81.09,95.72,68.71,64.01,58.67,91.41,83,75.4,78.75,64.7,100
Tanvi Shah,UCSE21016,72.14,78.31,75.86,73.29,63.15,75.27,89.37,84,86.48,65.44,60.15,68.79,70.61,80.99,53.13,84.85,67.97,65.28,59.43,53,77.78,69.78,56.15,56.1,65.69,85.74,65.95,53.52,66.09,65.82,41.58,67.51,65.74,75.01,86.54,79.32,64.86,56.49,93.28,68.14
Pari Kulkarni,UCSE21017,69.43,71.65,68.22,63.93,64.2,68.84,63.73,62.04,70.23,66.62,83.71,42.16,79.58,81.13,47.93,64.74,64.45,54.09,60.39,57.06,85.69,77.02,80.38,74.88,56.38,62.42,72.06,54.95,74.3,64.76,63.42,73.78,71.11,63.06,78.26,55.86,72.33,72.1,63.07,69.43
Harsh Joshi,UCSE21018,63.73,52.64,49.26,64.98,47.44,39.9,38.42,60.05,41.18,71.53,32.67,70.45,55.6,52.52,48.04,56.98,52.61,64.02,54.13,54.49,49.35,51.92,55.56,35.38,39,59.92,53.7,50.15,52.17,55.46,46.59,43.7,53.45,41.7,55.57,34.46,61.28,55.71,53.55,60.81
Suresh Pandey,UCSE21019,99.63,71.08,76.69,83.24,89.75,94.16,81.73,90.85,81.43,82.87,74.42,79.25,74.97,78.73,99.02,78.49,100,92.92,89.83,79.4,94.99,81.73,88.71,100,86.53,98.98,79.95,86.64,100,80.72,100,93.56,80.86,92.81,96.21,92.7,70.28,78.71,83.51,85.24
Aarav Sinha,UCSE21020,78.73,63.59,80.75,83.05,82.55,87.26,84.79,81.04,75.75,59.84,80.24,78.02,78.66,63.18,65.14,85.98,75.05,82.26,75.73,75.75,84.83,69.79,75.91,70.33,70.6,71.86,76.67,69.66,87.01,65.5,72.58,69.55,88.42,75.91,84.27,59.09,76.12,82.34,74.27,84.1
Suresh Reddy,UCSE21021,77.39,86.28,59.66,58.84,77.83,78.59,57.56,58.59,59.97,49.35,53.11,52.25,54.61,61.95,64.63,77.3,51.81,71.64,59.65,61.3,68.54,50.07,65.12,62.96,66.22,64.18,85.35,54.42,55.48,54.56,55.24,53.92,72.18,74.5,54.59,51.97,64.51,54.27,66.12,61.82
Kiara Shah,UCSE21022,66.79,69.27,45.18,47.43,54.17,54.16,57.4,70.91,49.04,42.83,36.52,43,49.98,68.26,45.13,52.05,49.65,61.7,75.08,44.5,44.92,59.75,56.13,67.78,55.15,45.72,54.72,59.9,57.02,53.88,59.48,60,62.13,54.8,46.64,49.78,59.88,39.64,51.5,43.88
Karan Joshi,UCSE21023,82.63,71.76,70.31,56.25,77.31,75.8,90.98,66.27,71.54,71.84,84.62,67.89,71.64,74.92,70.71,63.88,70.29,79.08,58.08,69.67,61.34,79.8,52.61,62.26,71.62,83.5,66.69,61.79,86.16,52.86,45.36,71.25,61.82,56.63,73.93,69.28,60.7,53.54,75.07,72.85
Reyansh Nair,UCSE21024,86.78,57.61,53.05,61.39,67.85,70.24,65.4,71.33,55.29,82.25,66.49,78.48,70.74,71.88,73.01,71.29,73.24,80.1,68.78,73.9,65.91,80.71,59.55,84.32,65.91,52,67.09,59,74.22,59.28,61.35,46.41,60.79,41.07,49.47,72.91,72.67,69.06,55.14,64.33
Ojas Gupta,UCSE21025,57.87,84.49,78.23,67.25,69.73,71.04,48.54,66.48,62.14,58.94,65.65,86.43,74.87,62.74,74.18,81.95,77.2,68.55,61.49,74.94,71.89,76.41,73.81,77.95,62.1,80.63,68.93,87.71,60.06,84.32,68.94,59.94,61.62,63.25,70.7,71.69,60.22,65.71,87.38,83.23
Ayaan Kumar,UCSE21026,75.12,75.94,80.87,64.51,72.16,57.55,78.23,80.71,69.4,89.98,61.48,59.09,75.98,84.21,90.58,68.65,84.02,72.85,71.51,82.07,79.76,56.97,87.5,86.54,66.48,76.69,77.18,74.84,66.73,65.52,71.98,83.46,77.17,68.03,79.45,43.25,82.72,53.84,67.61,60.04
Priya Singh,UCSE21027,65.57,49.29,57.43,53.49,58.73,54.23,40.63,63.43,48.53,37.9,48.68,67.97,61.47,49.48,49.47,49.25,73.23,56.28,56.76,62.77,54.85,49.37,50,51.25,51.59,59.24,51.98,58.79,50.66,52.25,31.48,60.13,54.43,60.94,22,71.85,49.07,61.55,40.06,56.59
Rahul Pandey,UCSE21028,50.62,76,54.95,59.03,65.56,61.32,57.86,60.01,80.39,55.78,57.87,66.37,66.91,67.73,62.25,43.93,71.69,43.9,58.39,47.82,54.72,58.15,58.07,59.08,71,59.39,51.92,64,66.25,42.08,60.33,60.87,50.88,67.62,52.36,55.11,51.63,53.51,42.4,38.96
Rahul Roy,UCSE21029,80.16,78.72,67.1,82.24,75.4,100,98.23,81.25,100,97.95,84.39,62.64,100,73.74,71.18,97.36,100,100,92.77,93.08,95.67,94.22,89.45,87.68,86.01,79.09,83.33,69.2,85.15,76.25,75.1,87.43,99.55,94.82,69.93,75.74,94.54,75.31,82.89,90.63
Sara Mishra,UCSE21030,58.93,44.54,51.87,61.08,41.95,61.78,57.18,62.9,59.62,71.02,58.13,52.59,58.1,62.31,57.37,56.79,49.36,49.75,42.35,73.88,43.94,48.95,48.7,64.83,52.93,68.36,48.64,58.17,47.03,76.83,43.5,57.98,61.22,59.02,53.03,53.58,54.82,52.91,64.02,76.49
Aditya Jain,UCSE21031,49.11,61.93,88.61,54.77,79.2,79.09,56.77,68,78.59,58.52,59.77,55.99,51.66,55.32,49.57,61.65,53.61,63.65,45.75,64.62,69.65,40.87,64.55,73.09,48.71,77.54,64.5,53.26,59.75,65.89,61.07,65.2,50.6,61.5,45.67,58.7,50.27,51.95,71.67,70.22
Rajesh Menon,UCSE21032,65.89,73.65,88.94,78.23,100,80.24,78.23,73.22,77.65,74.78,82.89,85.38,67.95,62.5,57.45,80.39,64.28,53.78,79.2,100,75.25,83.19,75.63,73.82,84,71.91,76.98,77.53,67.63,84.23,72.56,66.25,79.17,64.82,74.09,73.72,84.17,78.06,73.06,81.49
Krishna Chauhan,UCSE21033,91.76,86.29,73.06,75.53,83.13,79.59,83.81,86.25,90.98,84.98,90.05,85.83,65.43,75.79,83.74,72.59,90.68,99.99,96.87,82.55,99.59,85.67,80.81,78.05,81.16,80.3,85.39,85.29,83.71,88.05,95.59,92.68,68.33,57.64,92.53,69.51,80.43,70.98,64.66,88.1
Priya Kumar,UCSE21034,72.84,52.7,73.15,82.53,63.82,79.94,77.96,83.9,79.31,68.38,89.58,76.02,77.34,68.28,73.18,68.26,75.38,94.23,63.39,60.97,91.82,74.52,69.92,87.01,70.55,94.87,82.89,71.23,97.68,70.05,83.53,78.6,88.63,91.22,75.93,68.08,79.71,68.33,95.24,76.48
Aryan Desai,UCSE21035,66.96,51.64,55.4,77.12,58.55,54.15,69.98,76.47,71.81,74.58,56.55,49.9,79.13,60.89,61.61,76.9,69.18,68.18,85.27,57.18,72.89,63.69,65.8,78.4,68.19,68.5,73.34,58.97,54.22,52.17,42.95,82.68,51.08,59.9,59.35,65.19,69.77,70.22,55.79,59.94
Ramesh Banerjee,UCSE21036,70.4,88.96,77.8,80.24,79.52,84.13,74.2,59.42,76.39,65.88,66.6,77.75,84.27,72.1,74.98,88.41,73.8,97.41,77.05,53.78,78.92,74.7,83.79,77.62,69.51,58.65,68.3,61.89,64.59,76.28,87.09,73.84,57.93,74.34,81.86,63.79,68.05,69.54,61.54,75.87
Nikhil Yadav,UCSE21037,72.24,59.17,63.67,75.27,64.32,84.82,63.55,69.8,76.87,53.36,49.44,51.79,79.67,61.53,92.63,60.91,68.39,81.97,86.61,87.16,78.63,76.29,71.97,73.83,60.54,57.87,65.51,63.85,61.02,72.51,75.1,65.93,79.82,53.63,63.11,57.88,45.88,63.72,63.33,79.68
Anjali Agarwal,UCSE21038,66.83,95.61,89.28,82.89,74.8,66.98,72.85,87.46,95.42,92,71.18,64.87,77.48,58.39,79.3,74.09,70.91,59.62,80.71,70.24,63.87,46.35,74.79,92.79,91.68,70.5,68.55,79.26,64.59,77.59,82.23,86.34,73.07,72.03,65.29,65.8,71.3,77.24,82.71,65.54
Dev Nair,UCSE21039,84.7,87.2,79.94,63.17,96.25,94.28,84.1,87.58,92.07,71.29,81.12,94.35,73.87,89.35,72.85,90.58,85.56,69.76,97.56,78.57,77.81,87.42,96.9,75.25,86.03,89.7,91.84,86.68,81.24,76.64,85.77,73.69,55.2,88.78,93.45,60.78,73.81,90.1,100,84.12
Lakshmi Kumar,UCSE21040,58.94,74.51,54.3,52.77,55.94,50.73,61.49,76.51,63.49,57.74,56.85,44.13,68.6,58.99,57.96,91.2,62.25,51.75,55,70.75,60.4,44.38,67.96,52.08,77.5,69.56,53.79,71.07,58.94,66.79,63.11,49.3,51.33,68.06,54.42,53.73,47.71,61.5,77.89,46.59
Aditya Mukherjee,UCSE21041,83.91,68.99,74.31,59.17,74.07,67.42,79.15,81.16,95.19,75.09,72.05,70.73,65.26,72.18,65.84,69.98,81.47,58.23,79.69,81.46,67.11,46.57,61.71,80.76,67.56,57.8,62.24,75.7,72.76,64.9,63.62,62.87,57.57,82.94,63.57,78.96,81.5,76.27,61.97,70.33
Pari Sinha,UCSE21042,60.17,72.45,57.42,81.09,64.56,70.72,71.54,66.12,74.58,63.96,76.92,54.75,69.47,87.6,58.21,60.93,72.85,69.51,71.22,72.6,74.06,78.31,71.31,64.8,73.94,86.21,65.38,56.96,77.78,65.51,44.98,74.68,60.86,65.3,69.53,68.11,72.8,61.35,70.84,63.11
Anika Kumar,UCSE21043,84.52,69.01,89.23,73.01,86.45,81.54,96.25,75.63,74.37,77.67,74.33,85.37,61.2,66.83,66.69,86.37,93.97,75.82,75.18,77.57,88.48,67.09,78.75,86.12,81.38,78.26,85.88,48.83,82.64,69.32,57.56,80.48,89.1,73.99,84.89,91.49,88.01,91.27,82.29,75.62
Sandeep Iyer,UCSE21044,47.82,41.84,71.99,48.52,51.51,55.29,50.21,66.73,43.55,51.72,41.85,36.08,43.16,48.91,44.98,41.85,34.71,47.95,33.73,56.38,49.6,33.7,45.18,40.75,51.47,61.68,29.02,48.93,46.18,54.49,49.91,39.76,44.09,39.32,58.04,47.49,65.79,46.17,39.69,31.64
Anjali Singh,UCSE21045,32.02,50.53,52.95,32.05,56.81,42.53,48.83,63.48,56.33,44.68,37.95,25.34,39.67,44.75,36.99,45.05,47.13,44.11,39.86,48.05,50.78,34.96,59.97,44.88,46.05,52.94,47.69,54.89,48.23,39.24,48.98,33.43,45.95,44.53,42.78,43.58,25.54,38.88,45.29,45.96
Priya Joshi,UCSE21046,69.82,48.51,66.86,61.44,50.71,74.42,44.73,65.86,66.67,49.96,70.09,53.67,59.05,58.77,54.82,63.78,63.6,38.18,68.71,39.04,65.99,66.43,44.26,51.06,44.11,53.02,51.59,62.46,67.77,68.62,49.05,52.08,37.33,46.11,63.82,70.32,41.32,47.74,53.4,56.47
Rajesh Banerjee,UCSE21047,64.03,55.05,59.64,65.25,59.85,54.92,58.19,58.4,55.58,56.7,74.77,64.39,55.83,65.75,55.45,70.02,61.98,57.21,62.76,42.58,47.02,45.85,59.21,75.11,80.1,64.17,62.29,39.27,51.86,49.41,51.08,55.1,52.06,36.99,64.26,46.06,58.68,77.03,47.09,30.98
Ramesh Agarwal,UCSE21048,77.08,85.65,53.77,71.03,61.41,64.51,92.01,50.54,68.11,70.24,75.93,66.05,68.15,61.15,67.76,61.14,70.78,60.87,68.34,64.28,75.83,63.55,46.34,76.69,55.01,57.53,57.61,77.31,42.21,94.95,74.13,65.3,62.52,65.92,68.28,69.52,68.12,63.46,60.59,61.06
Ananya Agarwal,UCSE21049,78.5,73.1,37.76,73.72,69.11,66.47,62.78,77.9,76.14,58.93,70.23,56.44,52.36,59.89,74.79,75.19,70.79,72.91,70.82,59.25,69.98,73.17,72.7,77.05,72.24,68.68,75.36,64.4,55.84,63.03,57.21,57.41,62.72,56.24,61.08,45.22,65.79,63.67,55.49,70.25
Rahul Nair,UCSE21050,64.68,73.12,73.06,71.35,89.05,78.31,77.61,60.21,86.61,67.86,80.35,82.52,93.36,66.66,49.56,81.09,97.26,91.64,81.35,74.33,87.32,69.02,83.51,83.81,89.35,100,82.18,73.16,78,60.56,71.3,73.66,72.51,79.27,69.53,88.96,77.25,77.16,73.97,78.8
Gargi Joshi,UCSE21051,70.73,72.82,76.36,65.94,71.21,74.14,87.65,81.53,80.84,87.41,77.03,82.31,77.37,81.05,72.57,53.51,76.56,92.13,87.16,87.56,90.26,78.29,79.37,71.22,74.24,83.56,88.94,75.51,72.4,76.91,82.91,61.96,53.44,70.9,64.19,71.32,74.42,71.37,90.43,79.17
Kiara Chauhan,UCSE21052,79.33,61.72,83.5,72.35,79.81,61.89,57.07,80.78,76.37,63.59,63.41,83.36,60.21,88.53,63.1,77.99,68.32,77.64,66.16,69.98,72.01,61.08,78.51,65.97,68.82,61.16,44.98,68.7,94.73,78.45,70.41,67.48,70.33,75.58,58.3,81.25,76.76,76.79,73.99,69.8
Jiya Banerjee,UCSE21053,83.49,74.03,71.84,78.59,93.06,64.68,62.4,78.72,77.58,78.81,79.01,74.34,91.47,60.57,68.29,75.04,59.64,74.32,92.69,76.28,78.38,62.97,69.41,71.82,72.4,88.39,80.65,63.96,77.54,80.06,86.48,90.38,64.42,66.47,62,72.23,78.74,83.95,73.31,70.88
Sai Roy,UCSE21054,62.97,92.22,55.24,73.17,91.56,70.89,68.92,67.25,69.02,84.55,48.2,85.66,56.08,67.65,66.03,75.71,53.84,74.44,90.06,56.19,71.72,62.7,73.58,69.51,62.91,74.2,86.86,66.91,76.02,55.89,59.26,73.05,83.16,71.88,65.19,68.31,55.32,73.87,76.64,63.3
Aditi Reddy,UCSE21055,66.52,59.49,63.2,84.86,61.39,59.78,56.88,70.8,61.55,56.87,76.07,77.06,56.86,44.19,72.93,55.51,70.27,42.66,71.29,50.25,69.67,62,52.32,57.79,68.72,62.92,67.2,81.12,45.72,77.53,62.4,51.87,47.56,58.97,70.08,59.58,75.47,45.85,60.24,47.84
Tanvi Jain,UCSE21056,82.73,69.66,47.82,75.85,78.23,77.41,85.72,62.65,80.17,85.29,55.08,76.06,67.82,72.05,76.34,67.49,65.61,72.71,61.49,61.51,79.16,60.38,78.53,76.49,54.61,65.09,83.3,61.55,66.72,75.98,79.2,68.35,64.89,85.09,88.25,80.65,71.22,62.28,62.06,75.59
Avni Reddy,UCSE21057,88.54,81.03,59.49,85.04,64.54,70.18,76.52,93.98,100,80.09,71.69,78.87,82.4,70.31,91.47,75.32,78,79.68,77.24,81.41,66.85,66.94,61.52,76.92,80.31,77.1,88.77,71.96,78.71,61.1,68.15,78.48,80.01,68.58,70.8,56.34,67.45,79.92,76.77,76.03
Rajesh Mehta,UCSE21058,70.17,63.49,77.09,74.31,75.02,64.34,48.06,80.57,64.81,60.97,76.03,65.18,79.7,75.27,75.93,54.94,80.72,71.21,64.9,70.03,50.83,72.18,57.8,54.57,52.87,79.22,61.3,82.93,62.24,50.52,56.43,79.46,65.54,61.61,68.7,72.12,77.77,81.08,63,53.34
Myra Chauhan,UCSE21059,67.14,54.9,54.97,67.98,64.05,64.37,56.45,61.73,54.8,72.94,73.89,45.08,54.24,48.57,57.04,62.2,48.54,53.82,53,65.11,63.73,55.32,64.31,57.07,59.82,79.27,75.44,49.04,70.34,70.15,50.56,69.73,76.92,50.31,52.36,71.72,63.75,66.55,64.44,64.95
Aditi Chatterjee,UCSE21060,64.06,65.28,51.29,53.15,38.27,58.22,58.8,52.46,64.33,49.74,58.23,42.39,52.35,50.84,54.84,48.39,50.77,60.34,47.71,36.02,69.58,65.4,38.66,58.48,46.55,54.22,54.02,48.74,43.24,44.18,41.92,42.26,49.91,43.42,57.4,65.45,44.28,52.48,55.08,54.8
